order_id,item_id,product_id,product_name,quantity,list_price,discount,total_price,category_id,category_name,outlier,q1,q3,iqr,high,low,,
1346,5,263,Strider Classic 12 Balance Bike - 2018,2,89.99,0.2,179.78,1,Children Bicycles,FALSE,429,1549,1120,3229,-1251,,
1379,3,263,Strider Classic 12 Balance Bike - 2018,2,89.99,0.1,179.88,1,Children Bicycles,FALSE,,,,,,,
1425,2,263,Strider Classic 12 Balance Bike - 2018,1,89.99,0.07,89.92,1,Children Bicycles,FALSE,,,,,,Total sales by product category,
1439,2,263,Strider Classic 12 Balance Bike - 2018,1,89.99,0.2,89.79,1,Children Bicycles,FALSE,,,,,,,Total sales by category
1462,1,263,Strider Classic 12 Balance Bike - 2018,1,89.99,0.2,89.79,1,Children Bicycles,FALSE,,,,,,Children Bicycles,327803.83
1520,4,263,Strider Classic 12 Balance Bike - 2018,2,89.99,0.1,179.88,1,Children Bicycles,FALSE,,,,,,Comfort Bicycles,438452.02
1573,5,263,Strider Classic 12 Balance Bike - 2018,2,89.99,0.1,179.88,1,Children Bicycles,FALSE,,,,,,Cruisers Bicycles,1109007.23
667,2,84,Sun Bicycles Lil Kitt'n - 2017,1,109.99,0.1,109.89,1,Children Bicycles,FALSE,,,,,,Cyclocross Bicycles,799846.1
690,1,84,Sun Bicycles Lil Kitt'n - 2017,1,109.99,0.2,109.79,1,Children Bicycles,FALSE,,,,,,Electric Bikes,1020214.56
701,1,84,Sun Bicycles Lil Kitt'n - 2017,1,109.99,0.05,109.94,1,Children Bicycles,FALSE,,,,,,Mountain Bikes,3030651.45
733,1,84,Sun Bicycles Lil Kitt'n - 2017,1,109.99,0.05,109.94,1,Children Bicycles,FALSE,,,,,,Road Bikes,1852516.12
734,3,84,Sun Bicycles Lil Kitt'n - 2017,2,109.99,0.2,219.78,1,Children Bicycles,FALSE,,,,,,,
907,1,84,Sun Bicycles Lil Kitt'n - 2017,2,109.99,0.07,219.91,1,Children Bicycles,FALSE,,,,,,,
989,4,84,Sun Bicycles Lil Kitt'n - 2017,2,109.99,0.07,219.91,1,Children Bicycles,FALSE,,,,,,,
1037,5,84,Sun Bicycles Lil Kitt'n - 2017,2,109.99,0.05,219.93,1,Children Bicycles,FALSE,,,,,,,
1137,3,84,Sun Bicycles Lil Kitt'n - 2017,2,109.99,0.2,219.78,1,Children Bicycles,FALSE,,,,,,,
1194,4,84,Sun Bicycles Lil Kitt'n - 2017,1,109.99,0.05,109.94,1,Children Bicycles,FALSE,,,,,,,
1202,1,84,Sun Bicycles Lil Kitt'n - 2017,2,109.99,0.05,219.93,1,Children Bicycles,FALSE,,,,,,,
1210,4,84,Sun Bicycles Lil Kitt'n - 2017,1,109.99,0.1,109.89,1,Children Bicycles,FALSE,,,,,,,
1252,2,84,Sun Bicycles Lil Kitt'n - 2017,1,109.99,0.2,109.79,1,Children Bicycles,FALSE,,,,,,,
1334,3,84,Sun Bicycles Lil Kitt'n - 2017,2,109.99,0.1,219.88,1,Children Bicycles,FALSE,,,,,,,
1472,1,84,Sun Bicycles Lil Kitt'n - 2017,1,109.99,0.2,109.79,1,Children Bicycles,FALSE,,,,,,,
1473,1,84,Sun Bicycles Lil Kitt'n - 2017,2,109.99,0.2,219.78,1,Children Bicycles,FALSE,,,,,,,
656,1,83,Trek Boy's Kickster - 2015/2017,1,149.99,0.1,149.89,1,Children Bicycles,FALSE,,,,,,,
